Policy,# Jobs,Trial 1,Trial 2,Trial 3,Average
max_min_fairness,64,0.025793,0.023308,0.032368,0.02715633333
max_min_fairness,128,0.02886,0.031601,0.030429,0.03029666667
max_min_fairness,256,0.029936,0.042985,0.038094,0.037005
max_min_fairness,512,0.060971,0.064555,0.062169,0.062565
max_min_fairness,1024,0.126151,0.123919,0.12559,0.12522
max_min_fairness,2048,0.323599,0.315826,0.324146,0.3211903333
max_min_fairness,4096,0.369948,0.368136,0.375878,0.3713206667
max_min_fairness_perf,64,0.023029,0.01986,0.02295,0.02194633333
max_min_fairness_perf,128,0.033112,0.035478,0.036119,0.034903
max_min_fairness_perf,256,0.036251,0.040248,0.036344,0.03761433333
max_min_fairness_perf,512,0.053182,0.057051,0.052938,0.05439033333
max_min_fairness_perf,1024,0.108742,0.112382,0.114504,0.111876
max_min_fairness_perf,2048,0.195448,0.200328,0.20128,0.1990186667
max_min_fairness_perf,4096,0.358492,0.357005,0.344505,0.353334
max_min_fairness_packed,64,0.275474,0.276642,0.274937,0.2756843333
max_min_fairness_packed,128,0.995782,0.995782,1.037486,1.009683333
max_min_fairness_packed,256,5.271639,5.331461,5.388202,5.330434
max_min_fairness_packed,512,37.787094,37.76005,38.006865,37.85133633
max_min_fairness_packed,1024,335.630036,339.776698,341.817517,339.0747503
max_min_fairness_packed,2048,3415.600128,3406.678918,3394.054327,3405.444458
